"Slug","InContentMap","ContentFileFound","WiredInAstro","Status"
"markup-calculator","True","True","True","FULLY WIRED"
"word-counter","True","True","True","FULLY WIRED"
"case-converter","True","True","True","FULLY WIRED"
"markdown-previewer","True","True","True","FULLY WIRED"
"diff-checker","True","True","True","FULLY WIRED"
"slug-generator","True","True","True","FULLY WIRED"
"json-formatter","True","True","True","FULLY WIRED"
"regex-tester","True","True","True","FULLY WIRED"
"jwt-decoder","True","True","True","FULLY WIRED"
"csv-json-converter","True","True","True","FULLY WIRED"
"number-base-converter","True","True","True","FULLY WIRED"
"base64-tool","True","True","True","FULLY WIRED"
"url-encoder-decoder","True","True","True","FULLY WIRED"
"timestamp-converter","True","True","True","FULLY WIRED"
"color-converter","True","True","True","FULLY WIRED"
"uuid-generator","True","True","True","FULLY WIRED"
"password-generator","True","True","True","FULLY WIRED"
"hash-generator","True","True","True","FULLY WIRED"
"qr-code-generator","True","True","True","FULLY WIRED"
"lorem-ipsum-generator","True","True","True","FULLY WIRED"
"percentage-calculator","True","True","True","FULLY WIRED"
"emi-calculator","True","True","True","FULLY WIRED"
"roi-calculator","True","True","True","FULLY WIRED"
"discount-calculator","True","True","True","FULLY WIRED"
"simple-interest-calculator","True","True","True","FULLY WIRED"
"compound-interest-calculator","True","True","True","FULLY WIRED"
"fd-calculator","True","True","True","FULLY WIRED"
"rd-calculator","True","True","True","FULLY WIRED"
"sip-calculator","True","True","True","FULLY WIRED"
"ppf-calculator","True","True","True","FULLY WIRED"
"mortgage-calculator","True","True","True","FULLY WIRED"
"mortgage-affordability-calculator","True","True","True","FULLY WIRED"
"bmi-calculator","True","True","True","FULLY WIRED"
"bmr-calculator","True","True","True","FULLY WIRED"
"body-fat-calculator","True","True","True","FULLY WIRED"
"calorie-calculator","True","True","True","FULLY WIRED"
"ideal-weight-calculator","True","True","True","FULLY WIRED"
"ovulation-calculator","True","True","True","FULLY WIRED"
"pregnancy-due-date-calculator","True","True","True","FULLY WIRED"
"pregnancy-weight-gain-calculator","True","True","True","FULLY WIRED"
"water-intake-calculator","True","True","True","FULLY WIRED"
"macro-calculator","True","True","True","FULLY WIRED"
"protein-calculator","True","True","True","FULLY WIRED"
"heart-rate-zone-calculator","True","True","True","FULLY WIRED"
"age-calculator","True","True","True","FULLY WIRED"
"birthday-calculator","True","True","True","FULLY WIRED"
"business-days-calculator","True","True","True","FULLY WIRED"
"countdown-calculator","True","True","True","FULLY WIRED"
"date-difference-calculator","True","True","True","FULLY WIRED"
"time-duration-calculator","True","True","True","FULLY WIRED"
"timezone-calculator","True","True","True","FULLY WIRED"
"cagr-calculator","True","True","True","FULLY WIRED"
"break-even-calculator","True","True","True","FULLY WIRED"
"commission-calculator","True","True","True","FULLY WIRED"
"gst-calculator","True","True","True","FULLY WIRED"
"vat-calculator","True","True","True","FULLY WIRED"
"sales-tax-calculator","True","True","True","FULLY WIRED"
"inflation-calculator","True","True","True","FULLY WIRED"
"nps-calculator","True","True","True","FULLY WIRED"
"payroll-calculator","True","True","True","FULLY WIRED"
"salary-calculator","True","True","True","FULLY WIRED"
"profit-margin-calculator","True","True","True","FULLY WIRED"
"inventory-turnover-calculator","True","True","True","FULLY WIRED"
"invoice-due-date-calculator","True","True","True","FULLY WIRED"
"us-take-home-pay-calculator","True","True","True","FULLY WIRED"
"us-income-tax-calculator","True","False","True","CHECK MANUALLY"
"us-federal-tax-calculator","True","False","True","CHECK MANUALLY"
"bonus-calculator","True","True","True","FULLY WIRED"
"gross-margin-calculator","True","True","True","FULLY WIRED"
"net-profit-calculator","True","True","True","FULLY WIRED"
"overtime-calculator","True","True","True","FULLY WIRED"
"raise-calculator","True","True","True","FULLY WIRED"
"roas-calculator","True","True","True","FULLY WIRED"
"salary-to-hourly-calculator","True","True","True","FULLY WIRED"
"hourly-to-salary-calculator","True","True","True","FULLY WIRED"
"customer-acquisition-cost-calculator","True","True","True","FULLY WIRED"
"customer-lifetime-value-calculator","True","True","True","FULLY WIRED"
"freelancer-hourly-rate-calculator","True","True","True","FULLY WIRED"
"business-valuation-calculator","True","False","True","CHECK MANUALLY"
"ca-take-home-pay-calculator","True","True","True","FULLY WIRED"
"ca-income-tax-calculator","True","True","True","FULLY WIRED"
"cpp-calculator","True","True","True","FULLY WIRED"
"ei-calculator","True","True","True","FULLY WIRED"
"uk-national-insurance-calculator","True","True","True","FULLY WIRED"
"uk-take-home-pay-calculator","True","True","True","FULLY WIRED"
"uk-income-tax-calculator","True","True","True","FULLY WIRED"
"credit-card-payoff-calculator","True","True","False","REGISTERED, NOT WIRED"
"debt-to-income-calculator","True","True","False","REGISTERED, NOT WIRED"
"quarterly-estimated-tax-calculator","True","False","False","REGISTERED, NOT WIRED"
"retirement-calculator","True","True","False","REGISTERED, NOT WIRED"
"self-employment-tax-calculator","True","False","False","REGISTERED, NOT WIRED"
"home-affordability-calculator","True","True","False","REGISTERED, NOT WIRED"
"area-converter","True","True","True","FULLY WIRED"
"currency-converter","True","True","True","FULLY WIRED"
"data-storage-converter","True","True","True","FULLY WIRED"
"energy-converter","True","True","True","FULLY WIRED"
"length-converter","True","True","True","FULLY WIRED"
"pressure-converter","True","True","True","FULLY WIRED"
"speed-converter","True","True","True","FULLY WIRED"
"temperature-converter","True","True","True","FULLY WIRED"
"volume-converter","True","True","True","FULLY WIRED"
"weight-converter","True","True","True","FULLY WIRED"
"average-calculator","True","True","True","FULLY WIRED"
"gcd-calculator","True","True","True","FULLY WIRED"
"lcm-calculator","True","True","True","FULLY WIRED"
"mean-median-mode-calculator","True","True","True","FULLY WIRED"
