"WidgetFile","ImportedInAstro"
"AgeCalculatorWidget","True"
"AreaCalculatorWidget","True"
"AverageCalculatorWidget","True"
"Base64EncoderDecoderWidget","True"
"BirthdayCalculatorWidget","True"
"BMICalculatorWidget","True"
"BMRCalculatorWidget","True"
"BodyFatCalculatorWidget","True"
"BonusCalculatorWidget","True"
"BreakEvenCalculatorWidget","True"
"BusinessDaysCalculatorWidget","True"
"BusinessValuationEstimatorWidget","True"
"CAGRCalculatorWidget","True"
"CAIncomeTaxWidget","True"
"CalorieCalculatorWidget","True"
"CanadaTakeHomePayWidget","True"
"CapitalGainsTaxCalculatorWidget","False"
"CaseConverterWidget","True"
"ColorConverterWidget","True"
"CommissionCalculatorWidget","True"
"CompoundInterestCalculatorWidget","True"
"CountdownCalculatorWidget","True"
"CPPCalculatorWidget","True"
"CreditCardPayoffWidget","True"
"CsvJsonWidget","True"
"CurrencyConverterWidget","True"
"CustomerAcquisitionCostWidget","True"
"CustomerLifetimeValueWidget","True"
"DataStorageCalculatorWidget","True"
"DateDifferenceCalculatorWidget","True"
"DebtPayoffWidget","False"
"DebtToIncomeWidget","True"
"DiffCheckerWidget","True"
"DiscountCalculatorWidget","True"
"EICalculatorWidget","True"
"EMICalculatorWidget","True"
"EnergyCalculatorWidget","True"
"FDCalculatorWidget","True"
"FreelancerRateCalculatorWidget","True"
"GCDCalculatorWidget","True"
"GrossMarginCalculatorWidget","True"
"GSTCalculatorWidget","True"
"HashGeneratorWidget","True"
"HeartRateCalculatorWidget","True"
"HomeAffordabilityCalculatorWidget","True"
"HourlyToSalaryCalculatorWidget","True"
"IdealWeightCalculatorWidget","True"
"InflationCalculatorWidget","True"
"InventoryTurnoverCalculatorWidget","True"
"InvoiceDueDateCalculatorWidget","True"
"JsonFormatterWidget","True"
"JwtDecoderWidget","True"
"LCMCalculatorWidget","True"
"LengthCalculatorWidget","True"
"LoanAmortizationCalculatorWidget","False"
"LoanAmortizationWidget","False"
"LoremIpsumWidget","True"
"MacroCalculatorWidget","True"
"MarkdownPreviewerWidget","True"
"MarkupCalculatorWidget","True"
"MeanMedianModeCalculatorWidget","True"
"MortgageAffordabilityWidget","True"
"MortgageCalculatorWidget","True"
"NationalInsuranceWidget","True"
"NetProfitCalculatorWidget","True"
"NetWorthWidget","False"
"NPSCalculatorWidget","True"
"NumberBaseConverterWidget","True"
"OvertimeCalculatorWidget","True"
"OvulationCalculatorWidget","True"
"PasswordGeneratorWidget","True"
"PayrollCalculatorWidget","True"
"PercentageCalculatorWidget","True"
"PercentageIncreaseCalculatorWidget","True"
"PPFCalculatorWidget","True"
"PregnancyDueDateCalculatorWidget","True"
"PregnancyWeightGainCalculatorWidget","True"
"PressureCalculatorWidget","True"
"PrimeNumberCalculatorWidget","True"
"ProfitMarginCalculatorWidget","True"
"ProteinCalculatorWidget","True"
"QrCodeGeneratorWidget","True"
"QuarterlyEstimatedTaxCalculatorWidget","True"
"RaiseCalculatorWidget","True"
"RatioCalculatorWidget","True"
"RDCalculatorWidget","True"
"RegexTesterWidget","True"
"RegionalSalaryCalculatorWidget","False"
"RetirementWidget","True"
"RoasCalculatorWidget","True"
"ROICalculatorWidget","True"
"SalaryCalculatorWidget","True"
"SalaryToHourlyCalculatorWidget","True"
"SalesTaxCalculatorWidget","True"
"SelfEmploymentTaxCalculatorWidget","True"
"SimpleInterestCalculatorWidget","True"
"SIPCalculatorWidget","True"
"SlugGeneratorWidget","True"
"SpeedCalculatorWidget","True"
"StandardDeviationCalculatorWidget","True"
"TemperatureCalculatorWidget","True"
"TimeDurationCalculatorWidget","True"
"TimestampConverterWidget","True"
"TimezoneCalculatorWidget","True"
"UKIncomeTaxWidget","True"
"UKTakeHomePayWidget","True"
"UrlEncoderDecoderWidget","True"
"USFederalTaxCalculatorWidget","True"
"USIncomeTaxWidget","True"
"USTakeHomePayWidget","True"
"UuidGeneratorWidget","True"
"VATCalculatorWidget","True"
"VolumeCalculatorWidget","True"
"WaterIntakeCalculatorWidget","True"
"WeightCalculatorWidget","True"
"WordCounterWidget","True"
